#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2011,12,31,23,50,999,99,99,2.63,9.09,6.74,999,1012.9,-0.6,6,999,99,99
2012,1,1,0,50,999,99,99,2.4,10,6.64,999,1012.4,0.4,6,999,99,99
2012,1,1,1,50,999,99,99,2.46,9.09,5.59,999,1012,-0.9,6,999,99,99
2012,1,1,2,50,999,99,99,2.82,10,5.36,999,1010.6,-0.8,6,999,99,99
2012,1,1,3,50,999,99,99,2.77,6.67,5.18,999,1009.5,0.2,6,999,99,99
2012,1,1,4,50,999,99,99,2.94,6.25,5.26,999,1008.7,1.1,6.1,999,99,99
2012,1,1,5,50,999,99,99,2.95,6.67,5.25,999,1007.7,1.7,6.1,999,99,99
2012,1,1,6,50,999,99,99,3.13,5.88,5.3,999,1006.6,2,6.1,999,99,99
2012,1,1,7,50,999,99,99,2.92,6.67,5.38,999,1005.7,2.3,6.1,999,99,99
2012,1,1,8,50,999,99,99,3.34,6.67,5.59,999,1004.7,2.2,6.1,999,99,99
2012,1,1,9,50,999,99,99,3,7.14,5.36,999,1002.8,2.9,6.1,999,99,99
2012,1,1,10,50,999,99,99,2.98,6.67,5.33,999,1001.2,3,6,999,99,99
2012,1,1,11,50,999,99,99,3.11,6.67,5.42,999,999.9,3,6,999,99,99
2012,1,1,12,50,999,99,99,3.07,7.14,5.52,999,998.6,1.7,6,999,99,99
2012,1,1,13,50,999,99,99,3.17,7.14,5.71,999,996.5,0.9,6,999,99,99
2012,1,1,14,50,999,99,99,3.09,7.69,5.55,999,994.3,1.4,6.1,999,99,99
2012,1,1,15,50,999,99,99,3.32,7.14,5.86,999,991.9,0.9,6.1,999,99,99
2012,1,1,16,50,999,99,99,4.23,10,6.78,999,990.3,1.2,6,999,99,99
2012,1,1,17,50,999,99,99,5.69,11.43,7.81,999,987.8,2.9,6,999,99,99
2012,1,1,18,50,999,99,99,6.15,11.43,7.81,999,985.6,2.9,6,999,99,99
2012,1,1,19,50,999,99,99,6.3,12.9,7.68,999,982.9,2.5,5.6,999,99,99
2012,1,1,20,50,999,99,99,5.57,12.12,7.46,999,980.1,2.7,5.5,999,99,99
2012,1,1,21,50,999,99,99,6.18,12.12,7.81,999,977.4,2.7,5.3,999,99,99
2012,1,1,22,50,999,99,99,6.19,12.9,7.74,999,974.2,2.1,5.1,999,99,99
2012,1,1,23,50,999,99,99,6.36,12.12,7.89,999,971.3,2.4,5.2,999,99,99
2012,1,2,0,50,999,99,99,6.6,12.9,8.28,999,970.6,4.5,5.2,999,99,99
2012,1,2,1,50,999,99,99,6.76,12.9,8.87,999,970.8,3.8,5.5,999,99,99
2012,1,2,2,50,999,99,99,6.82,12.9,9.16,999,970.4,3.7,5.7,999,99,99
2012,1,2,3,50,999,99,99,7.53,12.9,9.84,999,970.1,3.6,5.7,999,99,99
2012,1,2,4,50,999,99,99,6.82,13.79,9.62,999,970.2,3.7,5.8,999,99,99
2012,1,2,5,50,999,99,99,6.16,13.79,8.9,999,970.6,2.6,5.7,999,99,99
2012,1,2,8,50,999,99,99,5.9,14.81,8.11,999,976.9,0.6,6.3,999,99,99
2012,1,2,9,50,999,99,99,5.93,14.81,8.8,999,978.8,1.2,6.5,999,99,99
2012,1,2,10,50,999,99,99,5.11,13.79,9.3,999,981,1.1,6.5,999,99,99
2012,1,2,11,50,999,99,99,4.67,13.79,8.99,999,982.9,1.8,6.4,999,99,99
2012,1,2,12,50,999,99,99,4.66,13.79,8.21,999,984.9,1.4,6.4,999,99,99
2012,1,2,13,50,999,99,99,4.7,13.79,8.34,999,986.7,1.6,6.4,999,99,99
2012,1,2,14,50,999,99,99,4.71,13.79,8.33,999,987.9,1.9,6.3,999,99,99
