#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2015,12,31,23,50,187,6.5,9.7,6.66,12.9,9.85,112,1006.8,6.2,7.6,1,99,99
2016,1,1,0,50,191,7,9.6,7.28,12.9,10.27,112,1008.5,6.1,7.9,1.4,99,99
2016,1,1,1,50,165,6.4,8.6,5.93,11.43,9.53,119,1008.7,6.1,7.8,1.2,99,99
2016,1,1,2,50,152,6.4,8.6,5.22,12.9,9.21,109,1008.9,6,7.7,1.5,99,99
2016,1,1,3,50,142,5.7,7.7,6.42,12.12,9.87,128,1009.1,6,7.6,1.6,99,99
2016,1,1,4,50,121,7.8,10.1,5.08,12.12,9.12,121,1009.5,6.1,7.5,2.1,99,99
2016,1,1,5,50,125,8.1,10.3,5.32,13.79,9.29,109,1010.1,6.2,7.5,2.8,99,99
2016,1,1,6,50,132,9.8,11.7,5.19,12.9,9.23,98,1010,6.3,7.5,2.3,99,99
2016,1,1,7,50,133,9.9,12,5.31,12.12,9.29,129,1010.6,6.5,7.5,2.4,99,99
2016,1,1,8,50,118,10.8,12.8,4.9,12.9,8.94,115,1011,6.8,7.5,3,99,99
2016,1,1,9,50,125,11.5,15.5,5.05,12.9,9,108,1011.3,6.5,7.5,2.5,99,99
2016,1,1,10,50,103,12.2,15,5.25,12.9,8.97,114,1010.9,5.9,7.5,4.2,99,99
2016,1,1,11,50,93,11.7,14.3,4.74,12.9,8.27,119,1010.9,6.4,7.5,5.1,99,99
2016,1,1,12,50,127,11.6,14.4,5.11,12.12,8.49,138,1010.8,6.8,7.5,5.6,99,99
2016,1,1,13,50,110,12.1,14.8,4.79,12.12,7.99,129,1010.8,6.9,7.5,5.3,99,99
2016,1,1,14,50,103,12.3,16.4,4.86,12.12,8.16,110,1010.3,6.8,7.5,4.9,99,99
2016,1,1,15,50,84,13.9,18,4.21,12.9,7.87,138,1009.1,7.1,7.5,5,99,99
2016,1,1,16,50,80,15.1,18.4,4.98,12.9,7.85,124,1008.2,6.6,7.5,4.8,99,99
2016,1,1,17,50,75,16.5,22.2,5.15,12.12,7.7,143,1006.4,6.6,7.4,4.1,99,99
2016,1,1,18,50,79,17.2,21,5.13,11.43,7.71,156,1005.7,7.1,7.6,2.9,99,99
2016,1,1,19,50,81,17.7,24.2,4.89,12.12,7.49,117,1005.4,6.5,7.6,5.3,99,99
2016,1,1,20,50,81,18.2,23,5.04,11.43,7.34,123,1004.3,6.4,7.7,5.7,99,99
2016,1,1,21,50,79,19.1,26,5.72,12.12,7.77,40,1003,6.1,7.7,5,99,99
2016,1,1,22,50,79,19.5,24.6,5.19,11.43,7.55,45,1001.9,5.2,7.7,4.1,99,99
2016,1,1,23,50,78,20.3,25.1,6.55,11.43,8.09,92,1000.6,4.7,7.7,3.8,99,99
2016,1,2,0,50,77,20.9,25.3,7.02,11.43,8.47,80,999.9,4,7.7,3.3,99,99
2016,1,2,1,50,74,19.7,24.1,7.29,11.43,8.66,66,999.6,4.3,7.7,3.7,99,99
