#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2009,12,31,23,50,350,2.1,3.8,2.11,10.81,7.8,999,1009.4,3.3,6.8,-0.8,99,99
2010,1,1,0,50,343,2,3.3,1.97,10,8.01,999,1008.8,3.1,7,-1.7,99,99
2010,1,1,1,50,294,1.2,3,2.12,10.81,7.92,999,1008.4,2.9,7,-1.9,99,99
2010,1,1,2,50,343,1.9,3.4,1.86,10.81,7.41,999,1008,2.9,6.9,-1.8,99,99
2010,1,1,3,50,10,2.8,3.9,1.69,10,7.2,999,1007.6,2.6,6.9,-0.9,99,99
2010,1,1,4,50,341,2.5,3.4,1.61,10,6.96,999,1007.1,2.5,6.9,-0.6,99,99
2010,1,1,5,50,39,2.5,4.2,1.58,10.81,6.93,999,1006.4,2.1,6.9,0,99,99
2010,1,1,6,50,343,3.3,4.2,1.68,10,7.25,999,1006,2,6.9,-0.1,99,99
2010,1,1,7,50,295,0.3,1.3,1.49,10,7.01,999,1005.7,2.4,6.9,-0.7,99,99
2010,1,1,8,50,7,3.5,5.2,1.38,10,6.8,999,1005.3,2.7,6.9,-0.6,99,99
2010,1,1,9,50,0,3.5,5.1,1.47,10,6.83,999,1004.8,2.5,6.9,-0.7,99,99
2010,1,1,10,50,359,3.7,5,1.59,10,7.08,999,1004.5,2.4,6.9,-1,99,99
2010,1,1,11,50,12,2.2,3.5,1.43,10.81,6.68,999,1004.4,2.3,6.9,-1.1,99,99
2010,1,1,12,50,350,1.4,2.2,1.28,8.33,6.32,999,1004.2,2.3,6.9,-1.1,99,99
2010,1,1,13,50,356,1.7,2.3,1.26,9.09,6.45,999,1003.8,2.2,6.8,-1,99,99
2010,1,1,14,50,321,2.8,4.1,1.26,8.33,6.43,999,1003.7,2.2,6.8,-1.2,99,99
2010,1,1,15,50,332,2.1,3.2,1.11,10,6.43,999,1003.6,2.2,6.8,-1.2,99,99
2010,1,1,16,50,342,1.7,2.9,1.12,10,6.5,999,1003.4,2.4,6.8,-1.2,99,99
2010,1,1,17,50,35,4.9,5.8,0.99,10,5.99,999,1003.5,2.4,6.8,0,99,99
2010,1,1,18,50,27,4.3,5.8,1.02,8.33,5.27,999,1003.7,2.5,6.9,0.3,99,99
2010,1,1,19,50,66,2.4,3.5,0.98,10,5.48,999,1004.1,2.2,6.8,0.1,99,99
2010,1,1,20,50,96,5.5,6.8,0.82,10,5.03,999,1003.9,1.7,6.8,0.5,99,99
2010,1,1,21,50,89,5.6,7.1,0.99,9.09,5.34,999,1003.8,1.6,6.8,0.5,99,99
2010,1,1,22,50,117,6.9,8.6,1.09,9.09,4.72,999,1003.7,2.9,6.9,-1.3,99,99
2010,1,1,23,50,99,7.5,9.2,1.06,8.33,4.45,999,1003.8,3,6.9,-1.8,99,99
2010,1,2,0,50,95,7.2,8.4,1.15,9.09,4.25,999,1004.3,3,7,-1.3,99,99
2010,1,2,1,50,140,6.6,8.7,1.25,8.33,4.52,999,1004.8,2.6,6.9,0.7,99,99
2010,1,2,2,50,95,7.6,8.8,1.19,9.09,4.23,999,1005.5,2.8,6.8,0,99,99
2010,1,2,3,50,95,8.5,9.8,1.18,9.09,4.12,999,1005.8,3.1,6.8,0.1,99,99
2010,1,2,4,50,87,9.4,10.9,1.29,3.85,3.93,999,1006.3,2.8,6.9,0.7,99,99
2010,1,2,5,50,119,10,11.7,1.51,4.76,4.2,999,1006.4,3.6,6.7,-2,99,99
2010,1,2,6,50,122,10.9,13,1.54,4.55,4.02,999,1007,3.5,6.8,-2.8,99,99
2010,1,2,7,50,116,11.5,13.3,1.83,5.26,4.38,999,1007.4,3.3,6.9,-3.3,99,99
2010,1,2,8,50,117,10.9,12.9,2.07,5.56,4.51,999,1008.2,2.7,6.9,-2.9,99,99
2010,1,2,9,50,119,11.2,13.9,2.12,5.56,4.6,999,1008.6,2.8,6.9,-2.5,99,99
2010,1,2,10,50,111,11.5,13.8,2.2,5.88,4.82,999,1009,2.6,6.9,-2.4,99,99
2010,1,2,11,50,106,11.7,14.2,2.58,6.25,5.26,999,1009.3,2.2,6.9,-1.2,99,99
2010,1,2,12,50,94,11.9,15.3,2.64,6.67,5.28,999,1009.5,2.3,6.8,-1.5,99,99
2010,1,2,13,50,96,13.1,15.6,2.64,6.67,5.31,999,1009.6,2.1,6.8,-0.3,99,99
2010,1,2,14,50,99,13.9,16.5,3.16,7.14,5.58,999,1009.9,2.1,6.8,-1.1,99,99
2010,1,2,15,50,88,13.6,16.1,3.24,7.14,5.64,999,1010.4,1.4,6.9,0,99,99
2010,1,2,16,50,80,13,15.5,2.82,6.67,5.37,999,1010.8,0.2,6.8,0,99,99
2010,1,2,17,50,94,14.4,17.5,3.37,7.69,5.62,999,1010.5,0.9,6.8,0.7,99,99
2010,1,2,18,50,105,14.5,17.9,3.7,7.69,5.85,999,1011,2,6.8,1.2,99,99
2010,1,2,19,50,113,14.8,17.2,3.66,7.69,5.81,999,1011.4,2.6,6.9,0.5,99,99
2010,1,2,20,50,115,14,16.8,3.79,8.33,5.91,999,1011.8,2.7,6.8,-0.1,99,99
2010,1,2,21,50,111,14.1,16.7,4.03,9.09,6.16,999,1011.8,2.7,6.8,-0.7,99,99
2010,1,2,22,50,108,13.5,16.9,3.9,7.69,6.23,999,1012,2.7,6.8,-0.4,99,99
2010,1,2,23,50,105,14,17.2,4.08,9.09,6.31,999,1012,2.6,6.8,-1.1,99,99
2010,1,3,0,50,100,14,17.3,3.74,9.09,6.07,999,1012.4,2.5,6.8,-0.9,99,99
2010,1,3,1,50,101,14.1,16.9,3.86,9.09,6.2,999,1013,2.2,6.7,0.1,99,99
2010,1,3,2,50,100,13.6,16,4.12,9.09,6.28,999,1013.3,2.6,6.7,-0.1,99,99
2010,1,3,3,50,91,14.8,17.4,3.84,8.33,6.07,999,1013.9,1.7,6.7,0.5,99,99
2010,1,3,4,50,95,14.8,17.7,3.85,8.33,6.07,999,1014.3,1.7,6.6,0.3,99,99
2010,1,3,5,50,100,14.9,18.7,3.65,7.14,5.9,999,1014.7,1.9,6.6,0.2,99,99
2010,1,3,6,50,101,15.3,17.8,3.88,7.14,5.96,999,1015.4,1.7,6.6,0.4,99,99
2010,1,3,7,50,104,14.8,18.4,3.53,8.33,5.62,999,1015.6,2.4,6.6,0.8,99,99
2010,1,3,8,50,107,14.3,17.7,3.44,7.14,5.49,999,1016.2,2.4,6.6,1,99,99
2010,1,3,9,50,105,13.9,16.7,3.48,7.14,5.64,999,1016.7,2.6,6.6,1.4,99,99
2010,1,3,10,50,102,13.5,16.5,3.27,7.14,5.69,999,1017,2.6,6.7,1.5,99,99
2010,1,3,11,50,100,13.1,15.8,3.04,6.25,5.41,999,1017.7,2.7,6.7,1.6,99,99
2010,1,3,12,50,108,12.8,14.8,3.31,8.33,5.87,999,1017.9,3,6.7,1.6,99,99
2010,1,3,13,50,106,11.7,14.2,2.93,7.69,5.42,999,1018.3,3.3,6.7,2,99,99
2010,1,3,14,50,105,11.5,13.7,2.84,6.67,5.45,999,1018.8,3.5,6.6,2.2,99,99
2010,1,3,15,50,97,11.5,13.8,2.74,7.14,5.29,999,1019.3,3.4,6.4,2.2,99,99
2010,1,3,16,50,98,11.8,14,2.83,6.67,5.39,999,1019.8,3.5,6.4,2.5,99,99
2010,1,3,17,50,106,12.1,13.9,2.59,5.88,5.02,999,1020.4,3.6,6.4,2.7,99,99
2010,1,3,18,50,110,10.8,12.8,2.45,6.67,5.09,999,1021.2,3.6,6.5,2.5,99,99
2010,1,3,19,50,106,10.6,12.8,2.31,6.25,4.9,999,1021.6,3.8,6.3,2.9,99,99
2010,1,3,20,50,109,8.8,10.7,2.32,7.69,5.11,999,1022.2,4.3,6.2,3.3,99,99
2010,1,3,21,50,107,8.5,9.9,2.19,6.67,4.99,999,1022.4,4.3,6.4,3,99,99
2010,1,3,22,50,108,7.5,10.3,1.94,9.09,5.07,999,1022.8,4.5,6.5,3.1,99,99
2010,1,3,23,50,102,6.4,7.5,2.08,7.69,5.23,999,1022.7,4.6,6.7,3.1,99,99
2010,1,4,0,50,131,4.4,6.2,2.03,8.33,5.35,999,1023,4.7,6.7,2.4,99,99
2010,1,4,1,50,97,10.1,12.2,2.02,7.69,4.8,999,1023.1,4.3,6.7,2.9,99,99
2010,1,4,2,50,98,10.1,11.7,2.15,7.69,4.94,999,1023.6,4.1,6.7,2.8,99,99
2010,1,4,3,50,96,10.3,12.2,2,7.69,4.62,999,1023.9,4.2,6.7,3,99,99
2010,1,4,4,50,97,9.4,10.7,2.07,5.56,4.74,999,1024.1,4.7,6.7,2.9,99,99
2010,1,4,5,50,108,10.3,12.4,1.92,10,4.64,999,1024.4,4.5,6.7,2.6,99,99
2010,1,4,6,50,116,10.4,12,1.87,7.14,4.46,999,1024.3,4.9,6.8,2.5,99,99
2010,1,4,7,50,118,9.4,11.7,2.01,10,4.53,999,1024.6,5,6.8,2.7,99,99
2010,1,4,8,50,115,11.2,13,2.03,5.26,4.49,999,1024.5,4.8,6.8,2.6,99,99
2010,1,4,9,50,112,11.1,13.3,2.1,5,4.62,999,1024.4,4.7,6.8,2.6,99,99
2010,1,4,10,50,110,10.9,12.8,2.29,5.88,4.75,999,1024.3,4.7,6.8,2,99,99
2010,1,4,11,50,106,10.5,12.3,2.1,4.76,4.71,999,1024.3,4.7,6.8,2.1,99,99
2010,1,4,12,50,103,10.6,12.8,1.99,5.26,4.74,999,1024,4.6,6.8,2.5,99,99
2010,1,4,13,50,102,10.8,12.2,2.23,5.88,4.91,999,1023.8,4.4,6.7,2.6,99,99
2010,1,4,14,50,100,9.9,11.7,2.26,7.14,4.97,999,1023.7,4.4,6.7,3.1,99,99
2010,1,4,15,50,101,9.6,11.3,2.05,6.25,4.81,999,1023.5,4.6,6.7,3.2,99,99
2010,1,4,16,50,107,9.4,10.9,2.06,5.88,4.85,999,1023.6,4.9,6.7,3.1,99,99
2010,1,4,17,50,114,8.6,10.1,2.06,11.43,4.88,999,1023.8,5.1,6.7,3.5,99,99
2010,1,4,18,50,112,7.9,9.1,1.81,10,4.81,999,1024,5.2,6.9,3.3,99,99
2010,1,4,19,50,122,7.6,9,1.83,10.81,4.87,999,1023.9,5.2,6.9,3.5,99,99
2010,1,4,23,50,110,1.9,2.8,1.45,10.81,5.42,999,1022.5,5,6.6,2.4,99,99
2010,1,5,0,50,128,1.2,2,1.45,10,5.55,999,1022.1,4.9,6.7,2.3,99,99
2010,1,5,1,50,182,0.8,2.1,1.46,6.25,5.57,999,1021.8,4.8,6.7,2.1,99,99
2010,1,5,2,50,88,0.5,1.4,1.28,10,5.9,999,1021.4,4.6,6.5,1.9,99,99
2010,1,5,3,50,319,0.2,0.9,1.31,9.09,6.32,999,1021.3,4.6,6.8,2.2,99,99
2010,1,5,4,50,246,2.1,3.7,1.36,10,6.16,999,1021,4.4,7,2.1,99,99
2010,1,5,5,50,318,0.7,1.4,1.58,10,6.47,999,1020.7,4.4,6.9,2.1,99,99
2010,1,5,6,50,308,1.2,2.5,1.59,9.09,6.11,999,1020.5,4.4,6.6,2.4,99,99
2010,1,5,7,50,327,1.1,2.1,1.65,10,6.45,999,1020.1,4.4,6.6,2.6,99,99
2010,1,5,8,50,16,1.4,3,1.71,10,6.61,999,1019.9,4.4,6.7,2.6,99,99
2010,1,5,9,50,0,0.9,1.8,1.33,8.33,6.07,999,1019.4,3.6,6.7,3.1,99,99
2010,1,5,10,50,85,0.8,1.6,99,99,99,999,1019.1,3.5,6.7,2.8,99,99
2010,1,5,11,50,194,0.5,1.5,1.57,10,6.93,999,1019.3,3.8,6.6,2.9,99,99
2010,1,5,12,50,136,2.4,3.9,1.65,9.09,7.44,999,1019,4.3,6.7,2.2,99,99
2010,1,5,13,50,102,2.7,5.2,1.64,10,7.73,999,1018.6,4.5,6.8,2,99,99
