#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2014,12,31,23,50,322,0.6,1.4,2.86,10.81,7.36,999,1029.7,6.3,8.2,4.1,99,99
2015,1,1,0,50,296,4.9,6.3,2.67,10.81,7.14,999,1029,7.1,8.2,4.1,99,99
2015,1,1,1,50,9,3.7,4.9,2.57,10,7.21,999,1028.4,6.1,8.2,4.1,99,99
2015,1,1,2,50,348,1.6,2.4,2.94,10,7.75,999,1027.2,6.3,8.2,4.1,99,99
2015,1,1,3,50,313,2.4,3.4,2.65,9.09,7.49,999,1026.3,6.6,8.1,4,99,99
2015,1,1,4,50,314,2.1,2.9,3.02,10,7.98,999,1025.5,6.5,8.1,4,99,99
2015,1,1,5,50,318,2.6,3.7,2.83,10.81,7.73,999,1024.4,6.5,8.1,3.6,99,99
2015,1,1,6,50,314,3.7,5.1,3.14,10,8.1,999,1022.9,6.5,8.1,3.4,99,99
2015,1,1,7,50,321,3.8,5.1,2.96,10,8.04,999,1021.8,6.5,8.1,3.1,99,99
2015,1,1,8,50,335,2.8,3.5,2.37,10,7.42,999,1021.3,6.4,8.1,2.7,99,99
2015,1,1,9,50,54,2.5,3.5,2.6,10,7.87,999,1019.9,6.2,8.1,3.5,99,99
2015,1,1,10,50,80,2.1,3.4,2.35,10.81,7.75,999,1018.6,6.1,8.1,3.3,99,99
2015,1,1,11,50,72,3.2,4.3,2.27,10.81,7.53,999,1016.6,5.8,8.1,3.4,99,99
2015,1,1,12,50,55,2.9,3.8,2.08,10,7.53,999,1014.9,5.9,8,3.2,99,99
2015,1,1,13,50,74,4.9,6.4,2.35,10.81,7.89,999,1013.1,5.9,8,3.2,99,99
2015,1,1,14,50,74,5.9,7.1,2.14,10,7.67,999,1010.8,6.1,8,3.4,99,99
2015,1,1,15,50,76,5.2,6.9,2.08,10.81,7.5,999,1009.1,5.5,8,2.7,99,99
2015,1,1,16,50,70,5.8,7.5,1.97,10.81,6.66,999,1007.2,5.1,8,2.3,99,99
2015,1,1,17,50,41,4.6,5.8,1.97,10,6.53,999,1005.5,4.9,8,2.7,99,99
2015,1,1,18,50,351,6.9,8.3,1.87,10,6.63,999,1003.5,5.2,8,3.2,99,99
2015,1,1,19,50,340,8.6,10.1,1.65,9.09,5.33,999,1001.9,5.3,8,2.8,99,99
2015,1,1,20,50,344,8.8,11,1.53,9.09,4.78,999,1001,4.8,8,2.2,99,99
2015,1,1,21,50,356,8.4,9.8,1.53,10,4.84,999,1000.3,3.9,8,2.3,99,99
2015,1,1,22,50,0,8.1,9.9,1.41,9.09,5.01,999,1000,4.9,8,2.8,99,99
2015,1,1,23,50,355,8,9.5,1.31,10,4.52,999,999.9,5.2,8,2.8,99,99
2015,1,2,0,50,355,7.2,8.6,1.45,10,4.74,999,1000.6,5.5,8.1,2.9,99,99
2015,1,2,1,50,0,6.4,7.7,1.58,9.09,5.52,999,1001.5,5.4,8.1,2.5,99,99
2015,1,2,2,50,339,4.8,6.3,2.39,10,6.99,999,1002.3,5.8,8.1,2.7,99,99
2015,1,2,3,50,22,2.7,4.1,2.41,9.09,7.06,999,1002.9,6,8.1,2.5,99,99
2015,1,2,4,50,337,2.5,3.5,2.19,9.09,6.86,999,1003.8,5.8,8.1,2.9,99,99
2015,1,2,5,50,339,3.3,4.3,1.96,9.09,6.76,999,1004.4,5.7,8,2.9,99,99
2015,1,2,6,50,12,3.9,4.9,1.88,7.69,6.76,999,1005.1,5.6,8,3.5,99,99
2015,1,2,7,50,339,3.1,4.2,1.86,7.69,6.74,999,1005.8,5.7,8,3.5,99,99
2015,1,2,8,50,346,3.6,5.3,1.78,10.81,6.7,999,1006.9,6,8,3.2,99,99
2015,1,2,9,50,332,5,6.2,2.11,10,7.18,999,1007.5,6.3,8,2.7,99,99
2015,1,2,10,50,332,4.4,5.2,2.04,9.09,6.76,999,1008.1,6.8,8,0.9,99,99
2015,1,2,11,50,305,3.8,4.8,2.42,10,7.21,999,1009.1,6.9,8,2.8,99,99
2015,1,2,12,50,302,3.5,4.6,2.55,10,7.49,999,1009.9,6.6,8.1,3.5,99,99
2015,1,2,13,50,295,3.3,4.3,3.02,10,8.03,999,1010.7,6.5,8.1,3.7,99,99
2015,1,2,14,50,270,0.8,1.8,2.59,10,7.69,999,1011.5,6.5,8.1,3.5,99,99
2015,1,2,15,50,240,0.6,1.4,2.36,10,7.35,999,1012.4,6.5,8.1,2.1,99,99
2015,1,2,16,50,120,2,3.7,2.2,9.09,7.39,999,1013.5,6.9,8.1,4.2,99,99
2015,1,2,17,50,140,4.1,5,2.16,10.81,7.47,999,1014.5,7.2,8.1,3.4,99,99
2015,1,2,18,50,137,5.7,6.8,2.34,9.09,7.75,999,1015.5,6.4,8.1,3.5,99,99
2015,1,2,19,50,141,13.1,15.5,2.03,10.81,5.77,999,1016,6.1,8,2.4,99,99
2015,1,2,20,50,128,12,14.9,2.44,10.81,5.31,999,1016.9,6.8,8,0.2,99,99
2015,1,2,21,50,122,12.6,15.5,2.54,10.81,5.34,999,1017.7,6.6,8,0.1,99,99
2015,1,2,22,50,125,12.2,15,2.72,10,5.41,999,1018.7,6.3,8,-0.4,99,99
2015,1,2,23,50,126,12.3,14.5,2.94,6.25,5.46,999,1019.3,6.1,8,-1.7,99,99
2015,1,3,0,50,116,11.7,14.3,2.78,6.67,5.54,999,1020.3,5.9,8,-2.5,99,99
2015,1,3,1,50,120,11.3,14.1,2.84,7.69,5.67,999,1021,5.8,7.9,-1.1,99,99
2015,1,3,2,50,111,12.4,14.6,2.86,7.69,5.41,999,1021.6,5.5,7.9,-0.9,99,99
2015,1,3,3,50,111,13.2,16.1,2.77,7.14,5.39,999,1021.8,5.3,7.9,-0.1,99,99
2015,1,3,4,50,118,14.3,18.2,2.83,7.69,5.4,999,1022.3,5.1,7.9,0.7,99,99
2015,1,3,5,50,120,14,16.7,3.33,8.33,5.9,999,1023.2,4.8,8,-1.3,99,99
2015,1,3,6,50,121,13,15.1,3.03,7.14,5.54,999,1024.1,4.7,8,-2,99,99
2015,1,3,7,50,120,12.5,15.2,2.98,8.33,5.52,999,1024.6,4.7,8,-2.5,99,99
2015,1,3,8,50,121,11.8,15,3.08,7.69,5.66,999,1025.4,3.4,8,-2,99,99
2015,1,3,9,50,111,11.9,14.8,2.83,9.09,5.44,999,1026.2,3.4,8,-2.5,99,99
2015,1,3,10,50,116,11.1,13.8,2.96,8.33,5.52,999,1026.3,4.1,8,-4,99,99
2015,1,3,11,50,115,11.2,13.2,2.87,7.69,5.47,999,1026.8,4.1,8,-4.7,99,99
2015,1,3,12,50,109,10.4,12.4,2.59,7.69,5.36,999,1027.3,3.8,8,-5.4,99,99
2015,1,3,13,50,112,9.6,11.4,2.57,7.69,5.28,999,1027.4,3.7,8,-5.5,99,99
2015,1,3,14,50,120,8.7,10.5,2.5,6.67,5.43,999,1027.6,3.6,8,-6.4,99,99
2015,1,3,15,50,109,7.7,9.5,2.53,6.67,5.46,999,1027.5,3.4,8,-7,99,99
2015,1,3,16,50,103,5.9,8.5,1.95,7.69,5.04,999,1027.5,3.3,7.9,-5.8,99,99
