#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,12,31,23,50,187,5.1,6.2,3.09,12.9,6.33,999,1003,5.5,6.9,999,99,99
2011,1,1,0,50,130,2.2,3.4,3.25,8.33,6.56,999,1003.6,5.4,6.9,999,99,99
2011,1,1,1,50,124,5.9,7.1,2.92,10,6.4,999,1003.8,5.8,6.9,999,99,99
2011,1,1,2,50,135,4.5,6,3.1,8.33,6.4,999,1004.7,5.6,6.9,999,99,99
2011,1,1,3,50,105,8.5,10,3.21,7.69,6.36,999,1005.1,5.5,6.9,999,99,99
2011,1,1,4,50,109,8.8,10.3,3.37,7.69,6.38,999,1005.5,5.5,6.8,999,99,99
2011,1,1,5,50,122,8.9,10.6,3.61,12.9,6.6,999,1006,5.9,6.9,999,99,99
2011,1,1,6,50,116,8.7,10.5,3.13,7.69,6.28,999,1006.4,5.7,6.9,999,99,99
2011,1,1,7,50,116,8.5,10.2,2.95,7.14,5.97,999,1006.9,6.1,6.9,999,99,99
2011,1,1,8,50,99,8.6,10.7,3.07,7.69,6.09,999,1007.3,5.8,6.9,999,99,99
2011,1,1,9,50,190,3,4.2,2.89,10,6.19,999,1008.1,5.9,6.9,999,99,99
2011,1,1,10,50,140,4.6,6.1,3.14,8.33,6.51,999,1008.2,5.7,6.9,999,99,99
2011,1,1,11,50,139,3.2,4.1,2.73,8.33,6.23,999,1008.9,5.8,6.9,999,99,99
2011,1,1,12,50,145,2.5,3.9,2.67,8.33,6.23,999,1009.3,5.8,6.9,999,99,99
2011,1,1,13,50,132,4.6,5.6,2.49,9.09,6.16,999,1009.7,5.8,6.9,999,99,99
2011,1,1,14,50,142,5.8,8.5,2.52,9.09,6.36,999,1010.1,5.8,6.9,999,99,99
2011,1,1,15,50,121,6.9,8.5,2.3,7.69,6.1,999,1009.8,6.1,6.9,999,99,99
2011,1,1,16,50,115,8.9,10.8,2.7,12.9,6.75,999,1009.5,5.7,6.9,999,99,99
2011,1,1,17,50,118,8.8,10.7,2.65,12.12,6.32,999,1009.3,5.9,6.9,999,99,99
2011,1,1,18,50,116,9,10.9,2.72,12.9,6.25,999,1009.7,5.7,6.9,999,99,99
2011,1,1,19,50,122,8.9,11,2.76,9.09,6.28,999,1010.2,5.8,6.9,999,99,99
2011,1,1,20,50,123,8.4,10.2,2.99,10,6.86,999,1010.6,5.7,6.9,999,99,99
2011,1,1,21,50,133,9.5,11.4,2.92,10,6.25,999,1010.8,5.9,6.9,999,99,99
2011,1,1,22,50,117,9.8,12.6,2.82,10,6.09,999,1010.2,6.2,6.9,999,99,99
2011,1,1,23,50,120,10.5,13,2.76,10,5.96,999,1010.1,6.5,6.9,999,99,99
2011,1,2,0,50,110,12.4,14.8,3.19,10.81,6.27,999,1009.2,6.4,6.9,999,99,99
2011,1,2,1,50,113,11.7,14.6,3.13,10.81,5.97,999,1009.4,6.8,6.9,999,99,99
2011,1,2,2,50,114,11.4,14.2,3.46,10.81,6.49,999,1009.2,7,6.9,999,99,99
2011,1,2,3,50,113,11.6,13.9,3.4,10.81,6.44,999,1009.4,6.9,6.9,999,99,99
2011,1,2,4,50,119,12.8,15.4,3.59,10.81,6.51,999,1009.3,7,6.9,999,99,99
2011,1,2,5,50,126,11.3,13.6,3.39,12.9,6.04,999,1009.5,6.9,6.9,999,99,99
2011,1,2,6,50,132,10.2,12,3.5,10.81,6.2,999,1009.8,6.5,6.9,999,99,99
2011,1,2,7,50,125,11.4,13.7,3.59,11.43,6.39,999,1009.5,6.3,6.9,999,99,99
2011,1,2,8,50,131,11.2,13.8,3.7,11.43,6.22,999,1009.9,6.2,7,999,99,99
2011,1,2,9,50,125,11.6,13.8,4,11.43,6.74,999,1009.9,6.3,7,999,99,99
2011,1,2,10,50,132,11,13.6,3.73,11.43,6.46,999,1010.4,6.3,7,999,99,99
2011,1,2,11,50,135,10.7,12.7,3.66,11.43,6.34,999,1010.3,6.1,7.1,999,99,99
2011,1,2,12,50,143,10.4,12.8,3.81,11.43,6.63,999,1010.3,6,7.1,999,99,99
2011,1,2,13,50,126,10.4,13,3.39,10.81,6.23,999,1009.8,6.5,7.1,999,99,99
2011,1,2,14,50,133,9.9,12.2,3.59,10,6.3,999,1009.9,6.6,7,999,99,99
