#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,12,31,23,50,134,8.7,10.5,3.23,10.81,7.13,999,1016.2,5.9,6.4,999,99,99
2013,1,1,0,50,125,9.8,11.6,3.42,12.9,7.32,999,1015.8,6,6.5,999,99,99
2013,1,1,1,50,101,12.5,14.7,3.25,10.81,6.45,999,1015.1,6.1,6.6,999,99,99
2013,1,1,2,50,103,13.5,16.5,3.43,10.81,6.19,999,1015.2,6,6.6,999,99,99
2013,1,1,3,50,102,14.3,18.2,3.85,10,6.31,999,1015.1,5.9,6.6,999,99,99
2013,1,1,4,50,105,15.7,19.8,4.25,12.9,6.4,999,1013.9,6.3,6.6,999,99,99
2013,1,1,5,50,102,17.3,20.6,4.1,12.12,6.25,999,1013.2,6.2,6.6,999,99,99
2013,1,1,6,50,103,16.8,21.4,3.94,7.69,5.99,999,1012.5,6,6.6,999,99,99
2013,1,1,7,50,108,18.2,23,4.71,11.43,6.65,999,1012.2,6,6.6,999,99,99
2013,1,1,8,50,105,18.5,22.9,4.88,7.14,6.53,999,1011.2,5.6,6.6,999,99,99
2013,1,1,9,50,111,16.9,21.9,5.35,7.14,6.69,999,1010.4,6.1,6.6,999,99,99
2013,1,1,10,50,113,17.6,22.2,5.08,8.33,6.88,999,1009.8,6.2,6.7,999,99,99
2013,1,1,11,50,109,17.7,22.2,5.05,9.09,6.75,999,1007.8,6.3,6.7,999,99,99
2013,1,1,12,50,116,19.1,24.6,5.29,8.33,6.83,999,1007.4,6.2,6.6,999,99,99
2013,1,1,13,50,115,18.5,23.5,6.29,8.33,7.46,999,1006,5.9,6.6,999,99,99
2013,1,1,14,50,110,18.7,26.6,6.09,8.33,7.27,999,1004.4,5.9,6.6,999,99,99
2013,1,1,15,50,108,21.2,27.7,6.41,10.81,7.39,999,1003.1,5.2,6.6,999,99,99
2013,1,1,16,50,99,20.3,25.6,6.7,12.12,7.88,999,1002.4,3.8,6.6,999,99,99
2013,1,1,17,50,102,21.7,28.2,7.92,10,8.19,999,1000.4,4.6,6.6,999,99,99
2013,1,1,18,50,106,19.5,24.2,7.18,10.81,8.22,999,1000,4.4,6.7,999,99,99
2013,1,1,19,50,108,19.7,24.6,8.34,17.39,9.05,999,998.6,4.9,6.7,999,99,99
2013,1,1,20,50,108,19.1,23.8,8.53,13.79,9.15,999,997.2,5,6.7,999,99,99
2013,1,1,21,50,107,19.2,24.7,7.5,10.81,8.34,999,995.5,5,6.6,999,99,99
2013,1,1,22,50,99,17.8,22.4,7.63,12.12,8.87,999,994,4.3,6.6,999,99,99
2013,1,1,23,50,113,14.5,18,7.24,12.12,8.38,999,992.2,5.4,6.5,999,99,99
2013,1,2,0,50,152,10.6,13.6,7.69,16,9.14,999,991.6,5.4,6.5,999,99,99
2013,1,2,1,50,236,12.3,16.8,7.3,12.12,9.03,999,992.8,2.9,6.5,999,99,99
2013,1,2,2,50,229,10.6,13.5,7.38,14.81,9.47,999,994.5,3.9,6.5,999,99,99
2013,1,2,3,50,213,10,12.1,7.27,12.12,9.19,999,996.4,5.2,6.5,999,99,99
2013,1,2,4,50,212,8.2,10.2,5.98,12.9,8.53,999,998.7,4.3,6.5,999,99,99
2013,1,2,5,50,214,12.7,15.6,6.39,12.9,8.82,999,1000.6,3.9,6.5,999,99,99
2013,1,2,6,50,179,10.2,13,6.22,13.79,8.79,999,1001.6,4.7,6.4,999,99,99
2013,1,2,7,50,175,10.1,13.1,6.14,12.9,8.9,999,1002.2,4.6,6.5,999,99,99
2013,1,2,8,50,192,10.9,12.9,6.47,12.9,8.95,999,1002.7,5,6.5,999,99,99
2013,1,2,9,50,178,10.6,13.3,5.13,12.12,7.74,999,1003.3,4.7,6.5,999,99,99
2013,1,2,10,50,198,8.7,10.6,5.72,12.9,8.7,999,1003.6,4.7,6.5,999,99,99
2013,1,2,11,50,178,8.7,11.1,5.18,12.9,8.02,999,1004,4.6,6.6,999,99,99
2013,1,2,12,50,195,9.4,12.4,4.91,12.9,7.9,999,1004.3,4.3,6.5,999,99,99
2013,1,2,13,50,167,9,11.4,4.71,12.9,7.92,999,1004.3,5.2,6.5,999,99,99
2013,1,2,14,50,176,10,12.4,4.68,11.43,7.75,999,1004.4,5.3,6.6,999,99,99
2013,1,2,15,50,174,9.1,11.1,4.95,12.9,8.43,999,1004.5,5.2,6.7,999,99,99
2013,1,2,16,50,164,8.1,10.1,5.18,12.9,8.49,999,1004.9,5.2,6.7,999,99,99
2013,1,2,17,50,164,8.9,11.1,5.21,12.9,8.64,999,1005.3,4.8,6.7,999,99,99
2013,1,2,18,50,145,7.9,10.4,4.58,11.43,8.24,999,1005.9,4.4,6.7,999,99,99
2013,1,2,19,50,160,7.3,9.9,4.25,12.9,7.87,999,1006.2,4.8,6.6,999,99,99
2013,1,2,20,50,155,8.4,10.5,4.46,12.12,8.5,999,1006.1,4.9,6.6,999,99,99
2013,1,2,21,50,168,7.9,9.5,4.51,12.9,8.25,999,1006.2,5.1,6.6,999,99,99
2013,1,2,22,50,148,8,10.3,4.24,12.12,8.24,999,1006.4,5.1,6.6,999,99,99
2013,1,2,23,50,159,8.8,10.9,4.56,12.12,8.34,999,1006.5,4.7,6.6,999,99,99
2013,1,3,0,50,151,7.5,9.8,4.02,12.9,7.69,999,1006.8,4.8,6.6,999,99,99
2013,1,3,1,50,135,9.5,11.5,3.96,12.12,7.84,999,1007,4.9,6.6,999,99,99
2013,1,3,2,50,138,9.7,12,3.78,11.43,7.51,999,1007.4,4.8,6.6,999,99,99
2013,1,3,3,50,132,7,10.5,3.72,10.81,7.58,999,1007.7,4.2,6.6,999,99,99
2013,1,3,4,50,139,10.2,12.3,3.57,12.12,6.96,999,1008.2,4.9,6.6,999,99,99
2013,1,3,5,50,131,9.2,11.2,3.4,11.43,6.85,999,1008.6,5.1,6.6,999,99,99
2013,1,3,6,50,127,9.5,12.5,3.87,11.43,7.35,999,1009,4.5,6.6,999,99,99
2013,1,3,7,50,125,9.9,12.6,3.54,11.43,6.8,999,1009.3,5.2,6.6,999,99,99
2013,1,3,8,50,122,10.9,13.7,3.47,11.43,6.49,999,1009.6,5.4,6.7,999,99,99
2013,1,3,9,50,120,9.9,11.8,3.26,11.43,6.09,999,1009.6,4.9,6.7,999,99,99
2013,1,3,10,50,109,10,13.4,3.44,11.43,6.34,999,1009.4,4.8,6.7,999,99,99
2013,1,3,11,50,99,13.1,16.1,3.58,11.43,6.31,999,1009.1,4.9,6.7,999,99,99
2013,1,3,12,50,111,12.1,15.5,3.48,10.81,6.1,999,1008.8,4.3,6.7,999,99,99
2013,1,3,13,50,110,10.9,13.4,3.6,12.12,6.43,999,1008.6,4,6.7,999,99,99
2013,1,3,14,50,104,12,14.6,3.8,10.81,6.11,999,1008.1,4.9,6.7,999,99,99
2013,1,3,15,50,111,11.9,15.2,3.4,6.25,5.89,999,1007.9,4.1,6.7,999,99,99
2013,1,3,16,50,108,10.6,13.4,3.85,11.43,6.08,999,1008.1,4.8,6.7,999,99,99
2013,1,3,17,50,118,12.2,14.4,3.88,10.81,6.19,999,1008.1,5.2,6.6,999,99,99
