Season,ghl,mt_wt,rnd_wt,dredge_hrs,number_hauls,mw_cpue,rw_cpue
2009/10,25000,3480.06,62241.2,158.81,125,21.91335558214218,391.9224230212203
2010/11,25000,3783.3,49485.4,100.37,76,37.693533924479425,493.02978977782203
2011/12,25000,25109.97,348142.4,454.66,311,55.22801653983196,765.7203184797431
2012/13,25000,25014.01,261317.9,671.03,431,37.27703679418208,389.42804345558324
2013/14,25000,21714.64,241692.2,548.93,371,39.558122164939064,440.29694132220874
2014/15,25000,28554.74,352196.1,635.8,400,44.911513054419636,553.9416483170809
2015/16,25000,15613.619999999999,208140.1,416.81,293,37.45980182817111,499.3644586262326
2016/17,25000,29623.59,503045.7,558.5,349,53.04134288272157,900.7085049239033
2017/18,25000,29200.14,384891,441.38,233,66.15646381802529,872.0173093479541
2018/19,30000,33319.2,398928.3,510.46,314,65.2728911178153,781.5074638561298
2019/20,35000,35010.1,450976.5,635.66,412,55.07677060063556,709.4618192115282
