Season,ghl,mt_wt,rnd_wt,dredge_hrs,number_hauls,mw_cpue,rw_cpue
2009/10,185000,169584.01,2507883.3,4372.74,2870,38.78209314983283,573.526736096818
2010/11,185000,159090.7,2160765.8,3573.03,2071,44.525430796830705,604.7432571235057
2011/12,185000,158114.57,2378861.2,4651.42,2751,33.99275275077288,511.42687609375207
2012/13,145000,143395.12,1989070.7,4038.22,2367,35.50948685311845,492.56125223489556
2013/14,145000,147400.09,1853113.8,3025.2,1716,48.7240810524924,612.5591035303452
2014/15,145000,129356.54,1553968.6,3154.83,1833,41.002697451209734,492.56809400189553
2015/16,145000,120689.93,1694562.4,2571.18,1370,46.93951026376994,659.0601980413662
2016/17,125000,120380.03,1552405.9,2105.6,1258,57.17136683130699,737.2748385258359
2017/18,145000,145079.91,1841714.3,2899.22,1643,50.041014479756626,635.2447554859583
2018/19,145000,145082.99,1777744.3,2267.18,1370,63.992709004137296,784.1213754532063
