Season,ghl,mt_wt,rnd_wt,dredge_hrs,number_hauls,mw_cpue,rw_cpue
2009/10,170000,170021.43,1667958.3,3496.11,1921,48.63160198048688,477.0897654822074
2010/11,170000,167292.85,1839479.5,3407.06,2142,49.10182092478559,539.9022911248995
2011/12,135000,136435.19,1437093.2,2437.13,1659,55.98190904875817,589.6662057419998
2012/13,105000,106039.83,992665.1,2000.55,1346,53.00533853190373,496.1960960735798
2013/14,105000,104724.73,899260.6,2449.13,1616,42.759971908391954,367.1755276363443
2014/15,105000,62556.28,609091.9,1548.11,996,40.40816221069562,393.4422618547778
2015/16,75000,35626.28,431843.2,1187.67,815,29.99678361834516,363.6053785984322
2016/17,25000,20606.28,264152.7,719.49,459,28.64012008506025,367.1388066547138
2017/18,25000,20869.99,211276.8,480.95,264,43.3932633329868,439.2905707453997
2018/19,25000,21700.72,239699.7,415.67,250,52.20660620203527,576.6586474847836
2019/20,20000,20125,249286.8,379.7,205,53.00237029233605,656.5362127995786
