Season,ghl,Area,District
2017/18,15000,M,M
2018/19,15000,M,M
1993/94,,Q,Q
1994/95,,Q,Q
1996/97,600000,Q,Q
1997/98,600000,Q,Q
1998/99,400000,Q,Q
1999/00,400000,Q,Q
2000/01,200000,Q,Q
2001/02,200000,Q,Q
2002/03,105000,Q,Q
2003/04,105000,Q,Q
2004/05,105000,Q,Q
2005/06,50000,Q,Q
2006/07,50000,Q,Q
2007/08,50000,Q,Q
2008/09,50000,Q,Q
2009/10,50000,Q,Q
2010/11,50000,Q,Q
2011/12,50000,Q,Q
2012/13,50000,Q,Q
2013/14,50000,Q,Q
2014/15,50000,Q,Q
2015/16,7500,Q,Q
2016/17,7500,Q,Q
2017/18,7500,Q,Q
2018/19,7500,Q,Q
1993/94,,O,O
1994/95,,O,O
1996/97,,O,O
1997/98,,O,O
1998/99,,O,O
1999/00,,O,O
2000/01,,O,O
2001/02,,O,O
2002/03,10000,O,O
2003/04,,O,O
2004/05,,O,O
2005/06,,O,O
2006/07,,O,O
2007/08,,O,O
2008/09,10000,O,O
2009/10,10000,O,O
2010/11,10000,O,O
2011/12,10000,O,O
2012/13,5000,O,O
2013/14,5000,O,O
2014/15,5000,O,O
2015/16,10000,O,O
2016/17,10000,O,O
2017/18,10000,O,O
2018/19,5000,O,O
