Season,ghl,Area,District
1993/94,,D,YAK
1994/95,250000,D,YAK
1995/96,250000,D,YAK
1996/97,250000,D,YAK
1997/98,250000,D,YAK
1998/99,250000,D,YAK
1999/00,250000,D,YAK
2000/01,250000,D,YAK
2001/02,200000,D,YAK
2002/03,200000,D,YAK
2003/04,200000,D,YAK
2004/05,200000,D,YAK
2005/06,200000,D,YAK
2006/07,150000,D,YAK
2007/08,150000,D,YAK
2008/09,150000,D,YAK
2009/10,160000,D,YAK
2010/11,160000,D,YAK
2011/12,160000,D,YAK
2012/13,120000,D,YAK
2013/14,120000,D,YAK
2014/15,120000,D,YAK
2015/16,120000,D,YAK
2016/17,120000,D,YAK
2017/18,140000,D,YAK
2018/19,145000,D,YAK
1995/96,35000,D,D16
1996/97,35000,D,D16
1997/98,35000,D,D16
1998/99,35000,D,D16
1999/00,35000,D,D16
2000/01,35000,D,D16
2001/02,35000,D,D16
2002/03,35000,D,D16
2003/04,35000,D,D16
2004/05,35000,D,D16
2005/06,35000,D,D16
2006/07,21000,D,D16
2007/08,21000,D,D16
2008/09,21000,D,D16
2009/10,25000,D,D16
2010/11,25000,D,D16
2011/12,25000,D,D16
2012/13,25000,D,D16
2013/14,25000,D,D16
2014/15,25000,D,D16
2015/16,25000,D,D16
2016/17,5000,D,D16
2017/18,5000,D,D16
2018/19,,D,D16
1995/96,,E,EKI
1996/97,,E,EKI
1997/98,,E,EKI
1998/99,6000,E,EKI
1999/00,6000,E,EKI
2000/01,9000,E,EKI
2001/02,9000,E,EKI
2002/03,6000,E,EKI
2003/04,6000,E,EKI
2004/05,26000,E,EKI
2005/06,26000,E,EKI
2006/07,20000,E,EKI
2007/08,20000,E,EKI
2008/09,15000,E,EKI
2009/10,15000,E,EKI
2010/11,8400,E,EKI
2011/12,8400,E,EKI
2012/13,0,E,EKI
2013/14,0,E,EKI
2014/15,0,E,EKI
2015/16,0,E,EKI
2016/17,0,E,EKI
2017/18,0,E,EKI
2018/19,0,E,EKI
1995/96,,E,WKI
1996/97,,E,WKI
1997/98,,E,WKI
1998/99,14000,E,WKI
1999/00,14000,E,WKI
2000/01,21000,E,WKI
2001/02,21000,E,WKI
2002/03,14000,E,WKI
2003/04,14000,E,WKI
2004/05,24000,E,WKI
2005/06,24000,E,WKI
2006/07,17000,E,WKI
2007/08,17000,E,WKI
2008/09,5000,E,WKI
2009/10,5000,E,WKI
2010/11,0,E,WKI
2011/12,0,E,WKI
2012/13,0,E,WKI
2013/14,0,E,WKI
2014/15,0,E,WKI
2015/16,0,E,WKI
2016/17,6300,E,WKI
2017/18,6300,E,WKI
2018/19,6300,E,WKI
1992/93,,H,KAMN
1993/94,20000,H,KAMN
1994/95,20000,H,KAMN
1995/96,,H,KAMN
1996/97,28000,H,KAMN
1997/98,20000,H,KAMN
1998/99,20000,H,KAMN
1999/00,20000,H,KAMN
2000/01,20000,H,KAMN
2001/02,20000,H,KAMN
2002/03,20000,H,KAMN
2003/04,,H,KAMN
2004/05,6500,H,KAMN
2005/06,7000,H,KAMN
2006/07,7000,H,KAMN
2007/08,7000,H,KAMN
2008/09,7000,H,KAMN
2009/10,14000,H,KAMN
2010/11,14000,H,KAMN
2011/12,12500,H,KAMN
2012/13,12500,H,KAMN
2013/14,0,H,KAMN
2014/15,0,H,KAMN
2015/16,10000,H,KAMN
2016/17,10000,H,KAMN
2017/18,10000,H,KAMN
2018/19,0,H,KAMN
1992/93,,H,KAMS
1993/94,,H,KAMS
1994/95,,H,KAMS
1995/96,,H,KAMS
1996/97,,H,KAMS
1997/98,,H,KAMS
1998/99,,H,KAMS
1999/00,,H,KAMS
2000/01,,H,KAMS
2001/02,,H,KAMS
2002/03,,H,KAMS
2003/04,20000,H,KAMS
2004/05,13500,H,KAMS
2005/06,,H,KAMS
2006/07,,H,KAMS
2007/08,5000,H,KAMS
2008/09,5000,H,KAMS
2009/10,0,H,KAMS
2010/11,0,H,KAMS
2011/12,0,H,KAMS
2012/13,0,H,KAMS
2013/14,0,H,KAMS
2014/15,0,H,KAMS
2015/16,0,H,KAMS
2016/17,0,H,KAMS
2017/18,0,H,KAMS
2018/19,0,H,KAMS
1993/94,,K,KNE
1994/95,,K,KNE
1995/96,,K,KNE
1996/97,,K,KNE
1997/98,,K,KNE
1998/99,,K,KNE
1999/00,75000,K,KNE
2000/01,80000,K,KNE
2001/02,80000,K,KNE
2002/03,80000,K,KNE
2003/04,80000,K,KNE
2004/05,80000,K,KNE
2005/06,80000,K,KNE
2006/07,90000,K,KNE
2007/08,90000,K,KNE
2008/09,90000,K,KNE
2009/10,75000,K,KNE
2010/11,65000,K,KNE
2011/12,70000,K,KNE
2012/13,60000,K,KNE
2013/14,55000,K,KNE
2014/15,55000,K,KNE
2015/16,55000,K,KNE
2016/17,55000,K,KNE
2017/18,55000,K,KNE
2018/19,15000,K,KNE
1993/94,,K,KSH
1994/95,,K,KSH
1996/97,,K,KSH
1997/98,,K,KSH
1998/99,,K,KSH
1999/00,180000,K,KSH
2000/01,180000,K,KSH
2001/02,180000,K,KSH
2002/03,180000,K,KSH
2003/04,180000,K,KSH
2004/05,180000,K,KSH
2005/06,160000,K,KSH
2006/07,160000,K,KSH
2007/08,170000,K,KSH
2008/09,170000,K,KSH
2009/10,170021,K,KSH
2010/11,171076,K,KSH
2011/12,136491,K,KSH
2012/13,106051,K,KSH
2013/14,106099,K,KSH
2014/15,66138,K,KSH
2015/16,40290,K,KSH
2016/17,25120,K,KSH
2017/18,25050,K,KSH
2018/19,25010,K,KSH
2009/10,25000,K,KSW
2010/11,25000,K,KSW
2011/12,25000,K,KSW
2012/13,25000,K,KSW
2013/14,25000,K,KSW
2014/15,25000,K,KSW
2015/16,25000,K,KSW
2016/17,25000,K,KSW
2017/18,25000,K,KSW
2018/19,30000,K,KSW
2018/19,15000,K,KSE
1993/94,,M,M
1994/95,,M,M
1995/96,,M,M
1996/97,200000,M,M
1997/98,200000,M,M
1998/99,200000,M,M
1999/00,200000,M,M
2000/01,33000,M,M
2001/02,,M,M
2002/03,,M,M
2003/04,,M,M
2004/05,,M,M
2005/06,20000,M,M
2006/07,25000,M,M
2007/08,10000,M,M
2008/09,10000,M,M
2009/10,0,M,M
2010/11,0,M,M
2011/12,0,M,M
2012/13,15000,M,M
2013/14,15000,M,M
2014/15,15000,M,M
2015/16,15000,M,M
2016/17,15000,M,M
