"Season","ghl","n_vessels","mt_wt","rnd_wt","dredge_hrs","mt_cpue","rnd_cpue","meat_disc_mort_lbs"
"2012/13",NA,1,15040,217607.3,255.12,58.9526497334588,852.960567576043,531.176542185339
"2013/14",NA,1,15155.03,193106.3,247.37,61.2646238428265,780.637506569107,338.578570933056
"2014/15",NA,2,14999.99,227369,288.05,52.0742579413296,789.338656483249,384.700630252101
"2015/16",NA,1,14999.93,190256.5,301.84,49.6949708454811,630.322356215213,182.157095709571
"2016/17",NA,1,15013.13,172934,339.83,44.1783538828238,508.883853691552,213.959672322996
"2017/18",NA,1,15250.08,181645.7,327.53,46.5608646536195,554.592556407047,469.137578840285
"2018/19",NA,1,8904.99,119457.6,260.44,34.1920979880203,458.676086622639,765.557667962243
