"Season","ghl","n_vessels","mt_wt","rnd_wt","dredge_hrs","mt_cpue","rnd_cpue","meat_disc_mort_lbs"
"1993/94",NA,NA,105017,NA,2491.17,42.15575032,NA,NA
"1994/95",NA,NA,314051,NA,8661.92,36.25652521,NA,NA
"1995/96",NA,NA,NA,NA,NA,NA,NA,NA
"1996/97",NA,4,219305,NA,3491,62.82010885,NA,NA
"1997/98",NA,4,258346,NA,5492,47.04042243,NA,NA
"1998/99",NA,8,179870,NA,4081,44.07498162,NA,NA
"1999/00",180000,6,187963,NA,4304,43.67170074,NA,NA
"2000/01",180000,5,180087,NA,2907,61.9494324,NA,NA
"2001/02",180000,4,177112,NA,3398.25,52.11859045,NA,NA
"2002/03",180000,3,180580,NA,3799.08,47.53251881,NA,NA
"2003/04",180000,2,180111,NA,3257.58,55.2897598,NA,NA
"2004/05",180000,2,174622,NA,3466.92,50.36809845,NA,NA
"2005/06",160000,2,159941,NA,2280,70.1495614,NA,NA
"2006/07",160000,3,162537,NA,2183,74.45579478,NA,NA
"2007/08",170000,3,169968,NA,2937.18,57.86768503,NA,NA
"2008/09",170000,2,13761,NA,263,52.32319392,NA,NA
"2009/10",170021,3,169928.38,1667958.3,3496.11,48.6049866852016,477.089765482207,6357.91833853573
"2010/11",171076,4,171076.15,1888964.9,3507.43,48.7753568852408,538.560969142649,7393.6962054927
"2011/12",136491,4,136490.87,1437780.5,2437.13,56.0047555936696,589.94821778075,2313.51222012748
"2012/13",106051,4,106050.88,992769.4,2001.55,52.9843771077415,496.00029976768,2297.18317099088
"2013/14",106099,4,106099.32,910919.1,2471.81,42.9237360476736,368.523106549452,1541.41466225385
"2014/15",66138,3,66138,650366.9,1629.31,40.5926435116706,399.16707072319,866.257035475296
"2015/16",40290,3,40289.87,447037.8,1323.14,30.450194234926,337.861299635715,1094.73744296169
"2016/17",25120,2,25119.94,287749,829.82,30.2715528668868,346.760743293726,965.792722838138
"2017/18",25050,1,25050.18,261383.5,545.05,45.9594165672874,479.558756077424,899.813454481915
"2018/19",25010,1,25020.03,281890.1,473.05,52.8908783426699,595.89916499313,3079.44742636939
