"Season","ghl","n_vessels","mt_wt","rnd_wt","dredge_hrs","mt_cpue","rnd_cpue","meat_disc_mort_lbs"
"1993/94",NA,NA,NA,NA,NA,NA,NA,NA
"1994/95",NA,NA,NA,NA,NA,NA,NA,NA
"1995/96",NA,NA,NA,NA,NA,NA,NA,NA
"1996/97",NA,NA,NA,NA,NA,NA,NA,NA
"1997/98",NA,1,NA,NA,NA,NA,NA,NA
"1998/99",NA,4,NA,NA,NA,NA,NA,NA
"1999/00",NA,1,NA,NA,NA,NA,NA,NA
"2000/01",NA,NA,NA,NA,NA,NA,NA,NA
"2001/02",NA,NA,NA,NA,NA,NA,NA,NA
"2002/03",10000,1,6000,NA,184,32.60869565,NA,NA
"2003/04",NA,NA,NA,NA,NA,NA,NA,NA
"2004/05",NA,NA,NA,NA,NA,NA,NA,NA
"2005/06",NA,NA,NA,NA,NA,NA,NA,NA
"2006/07",NA,NA,NA,NA,NA,NA,NA,NA
"2007/08",NA,NA,NA,NA,NA,NA,NA,NA
"2008/09",10000,1,10040,NA,225,44.62222222,NA,NA
"2009/10",10000,1,6079.97,54881.5,103.85,58.545690900337,528.468945594608,41.6428217821782
"2010/11",10000,1,5640,42176.7,83.43,67.6015821646889,505.533980582524,65.3296468213925
"2011/12",10000,1,5570.01,45512.8,76.77,72.5545134818288,592.846163866094,51.3445659163987
"2012/13",5000,1,5100.06,37730,64.19,79.4525627044711,587.786259541985,54.2877313974592
"2013/14",5000,1,5225.01,44571.6,55.85,93.5543419874664,798.059086839749,88.6709415584416
"2014/15",5000,1,5160.01,41322.9,73.37,70.3286084230612,563.212484666758,78.3236433121019
"2015/16",10000,1,5039.98,43627.6,156.76,32.1509313600408,278.308241898443,68.9475870494808
"2016/17",10000,1,5050,26122,104.16,48.4831029185868,250.787250384025,25.6222459893048
"2017/18",10000,1,285,2250,24.26,11.7477328936521,92.7452596867271,0.61223974763407
"2018/19",5000,1,324.99,0,23.5,13.8293617021277,0,0.705
