"Season","raw_cpue_median","raw_cpue_mean","raw_cpue_sd","std_cpue"
"2009/10",597.4,674,348.8,451.025543448371
"2010/11",594.6,634.1,371.4,541.53562148713
"2011/12",547.7,635.9,423.6,426.680632073185
"2012/13",529.6,553.3,289,449.413322096122
"2013/14",440.3,567.5,446.8,429.053280122338
"2014/15",885.2,867.5,385.4,778.229203755801
"2015/16",436.9,445.6,216.4,265.400893467048
"2016/17",162.1,174,118.8,118.20762770251
"2017/18",407.2,389.4,166.1,246.138345164711
"2018/19",419,594.6,574,575.821770379637
