"Season","ghl","n_vessels","mt_wt","rnd_wt","dredge_hrs","mt_cpue","rnd_cpue","meat_disc_mort_lbs"
"2009/10",25000,1,3480.06,62241.2,158.81,21.9133555821422,391.92242302122,75.077609980302
"2010/11",25000,NA,NA,NA,NA,NA,NA,NA
"2011/12",25000,1,25109.97,348142.4,454.66,55.228016539832,765.720318479743,335.443793266951
"2012/13",25000,2,25014.01,261317.9,671.03,37.2770367941821,389.428043455583,311.92813137666
"2013/14",25000,2,20340.05,230033.7,526.25,38.6509263657957,437.118669833729,263.077237248139
"2014/15",25000,2,24973.02,310921.1,554.6,45.0288856833754,560.622250270465,160.469297052154
"2015/16",25000,1,10950.03,149947.2,281.34,38.9209852847089,532.975047984645,129.296680851064
"2016/17",25000,1,25109.93,373803.9,448.17,56.0276903853448,834.067206640337,475.08068564305
"2017/18",25000,1,25019.95,334784.3,377.28,66.316661365564,887.362966497031,1617.48765957447
"2018/19",30000,1,29999.89,356737.9,453.08,66.2132294517525,787.361834554604,1903.78144189992
